,A,B,M,N,V/I
368,-585.0,-345.0,-505.0,-425.0,0.1983584139538143
369,-575.0,-335.0,-495.0,-415.0,0.1983011802848509
370,-565.0,-325.0,-485.0,-405.0,0.19823707302949733
371,-555.0,-315.0,-475.0,-395.0,0.1981651556541742
372,-545.0,-305.0,-465.0,-385.0,0.1980843042349363
373,-535.0,-295.0,-455.0,-375.0,0.19799317678786038
374,-525.0,-285.0,-445.0,-365.0,0.19789017247862617
375,-515.0,-275.0,-435.0,-355.0,0.1977733794609383
376,-505.0,-265.0,-425.0,-345.0,0.1976405092245711
377,-495.0,-255.0,-415.0,-335.0,0.19748881445213073
378,-485.0,-245.0,-405.0,-325.0,0.19731498637970254
379,-475.0,-235.0,-395.0,-315.0,0.19711502643104825
380,-465.0,-225.0,-385.0,-305.0,0.19688408534416185
381,-455.0,-215.0,-375.0,-295.0,0.19661626101543644
382,-445.0,-205.0,-365.0,-285.0,0.1963043437195916
383,-435.0,-195.0,-355.0,-275.0,0.1959394940999426
384,-425.0,-185.0,-345.0,-265.0,0.19551083532100838
385,-415.0,-175.0,-335.0,-255.0,0.19500493626638665
386,-405.0,-165.0,-325.0,-245.0,0.19440515863561605
387,-395.0,-155.0,-315.0,-235.0,0.19369084010348392
388,-385.0,-145.0,-305.0,-225.0,0.19283629560350754
389,-375.0,-135.0,-295.0,-215.0,0.1918096563587363
390,-365.0,-125.0,-285.0,-205.0,0.1905716694361148
391,-355.0,-115.0,-275.0,-195.0,0.18907482801359093
392,-345.0,-105.0,-265.0,-185.0,0.18726373992348455
393,-335.0,-95.0,-255.0,-175.0,0.18507867793444832
394,-325.0,-85.0,-245.0,-165.0,0.18246586366033485
395,-315.0,-75.0,-235.0,-155.0,0.17939931714210397
396,-305.0,-65.0,-225.0,-145.0,0.17591626680509537
397,-295.0,-55.0,-215.0,-135.0,0.1721542144241885
398,-285.0,-45.0,-205.0,-125.0,0.16835543390247948
399,-275.0,-35.0,-195.0,-115.0,0.16480923350843035
400,-265.0,-25.0,-185.0,-105.0,0.16176019203196912
401,-255.0,-15.0,-175.0,-95.0,0.15934793704212502
402,-245.0,-5.0,-165.0,-85.0,0.15759854650493824
403,-235.0,5.0,-155.0,-75.0,0.15643745138756177
404,-225.0,15.0,-145.0,-65.0,0.15569806521306293
405,-215.0,25.0,-135.0,-55.0,0.15513172806818032
406,-205.0,35.0,-125.0,-45.0,0.15444754781668402
407,-195.0,45.0,-115.0,-35.0,0.15339427944937714
408,-185.0,55.0,-105.0,-25.0,0.15183983332975926
409,-175.0,65.0,-95.0,-15.0,0.1497898307841921
410,-165.0,75.0,-85.0,-5.0,0.14735536415815817
411,-155.0,85.0,-75.0,5.0,0.14472883382650495
