,A,M,V/I
1681,-375.0,65.0,0.023147469840277542
1682,-375.0,75.0,0.022902544509453594
1683,-375.0,85.0,0.022653948649285154
1684,-375.0,95.0,0.022403019713012257
1685,-375.0,105.0,0.022151256402367474
1686,-375.0,115.0,0.0218999387439291
1687,-375.0,125.0,0.02165005226363407
1688,-375.0,135.0,0.021402322096851303
1689,-375.0,145.0,0.02115727061220099
1690,-375.0,155.0,0.020915269509518768
1691,-375.0,165.0,0.020676580146474367
1692,-375.0,175.0,0.02044138306745712
1693,-375.0,185.0,0.020209799237270575
1694,-375.0,195.0,0.019981905288008996
1695,-375.0,205.0,0.019757744537570725
1696,-375.0,215.0,0.01953733503274501
1697,-375.0,225.0,0.019320675488535315
1698,-375.0,235.0,0.019107749727016624
1699,-375.0,245.0,0.01889853003482094
1700,-375.0,255.0,0.018692979732652694
1701,-365.0,-355.0,1.5998304426477645
1702,-365.0,-345.0,0.7896827549751868
1703,-365.0,-335.0,0.5232793374147626
1704,-365.0,-325.0,0.3900719410540471
1705,-365.0,-315.0,0.31009391783472917
1706,-365.0,-305.0,0.2567742095713875
1707,-365.0,-295.0,0.21863875360148005
1708,-365.0,-285.0,0.18994918836232105
1709,-365.0,-275.0,0.16753845419560287
1710,-365.0,-265.0,0.14951960213969784
1711,-365.0,-255.0,0.1346959144376946
1712,-365.0,-245.0,0.12226882669247341
1713,-365.0,-235.0,0.1116832443611093
1714,-365.0,-225.0,0.10254052434928339
1715,-365.0,-215.0,0.09454678114878937
1716,-365.0,-205.0,0.08748067166911541
1717,-365.0,-195.0,0.08117248802058827
1718,-365.0,-185.0,0.07549013335258048
1719,-365.0,-175.0,0.07032947055404526
1720,-365.0,-165.0,0.06560755911644671
1721,-365.0,-155.0,0.06125787199785525
1722,-365.0,-145.0,0.05722692603649911
1723,-365.0,-135.0,0.053471975016973275
1724,-365.0,-125.0,0.049959561408465594
1725,-365.0,-115.0,0.046664831050599806
1726,-365.0,-105.0,0.04357159268004729
1727,-365.0,-95.0,0.040673124021130866
1728,-365.0,-85.0,0.0379735846858892
1729,-365.0,-75.0,0.03548935626196443
1730,-365.0,-65.0,0.033248419168848825
1731,-365.0,-55.0,0.03128450352634177
1732,-365.0,-45.0,0.02962410041104046
1733,-365.0,-35.0,0.02827156096985224
1734,-365.0,-25.0,0.02720356151041463
1735,-365.0,-15.0,0.026376869871591678
1736,-365.0,-5.0,0.025741268228037774
1737,-365.0,5.0,0.025249067876938248
1738,-365.0,15.0,0.02485926362278363
1739,-365.0,25.0,0.02453822279304361
1740,-365.0,35.0,0.024259122433772994
1741,-365.0,45.0,0.024001501046194924
1742,-365.0,55.0,0.023751267049091015
1743,-365.0,65.0,0.023500512778055826
1744,-365.0,75.0,0.02324631073789312
1745,-365.0,85.0,0.02298872597703724
1746,-365.0,95.0,0.022729044616385433
1747,-365.0,105.0,0.02246875170101391
1748,-365.0,115.0,0.022209127814568776
1749,-365.0,125.0,0.02195116288019141
1750,-365.0,135.0,0.021695586195712796
1751,-365.0,145.0,0.021442922689849465
1752,-365.0,155.0,0.021193544739492177
1753,-365.0,165.0,0.020947712623672638
1754,-365.0,175.0,0.020705604312582074
1755,-365.0,185.0,0.02046733698477652
1756,-365.0,195.0,0.020232982539006714
1757,-365.0,205.0,0.020002578844845378
1758,-365.0,215.0,0.019776137982211926
1759,-365.0,225.0,0.019553652343318094
1760,-365.0,235.0,0.01933509920398059
1761,-365.0,245.0,0.019120444187534905
1762,-365.0,255.0,0.01890964391879613
1763,-365.0,265.0,0.01870264807911216
1764,-355.0,-345.0,1.5993745431371116
1765,-355.0,-335.0,0.7892074266050406
1766,-355.0,-325.0,0.522783412216232
1767,-355.0,-315.0,0.38955416615353156
1768,-355.0,-305.0,0.30955294938985184
1769,-355.0,-295.0,0.2562086066381833
1770,-355.0,-285.0,0.21804697210728605
1771,-355.0,-275.0,0.18932957544166568
1772,-355.0,-265.0,0.1668892432622618
1773,-355.0,-255.0,0.14883890923034782
1774,-355.0,-245.0,0.1339817365905288
1775,-355.0,-235.0,0.12151904344585979
1776,-355.0,-225.0,0.11089562391443625
1777,-355.0,-215.0,0.10171273658285776
1778,-355.0,-205.0,0.09367642064690745
1779,-355.0,-195.0,0.08656529527675155
1780,-355.0,-185.0,0.0802096735188155
1781,-355.0,-175.0,0.0744775689228821
1782,-355.0,-165.0,0.06926508938996635
1783,-355.0,-155.0,0.06448974072978755
1784,-355.0,-145.0,0.06008574281339447
1785,-355.0,-135.0,0.05600080865411759
1786,-355.0,-125.0,0.05219406005428666
1787,-355.0,-115.0,0.04863490818262589
1788,-355.0,-105.0,0.04530283431021234
1789,-355.0,-95.0,0.04218804251237892
1790,-355.0,-85.0,0.03929281574542707
1791,-355.0,-75.0,0.036632838673438375
1792,-355.0,-65.0,0.03423646520007893
1793,-355.0,-55.0,0.03213844778382489
1794,-355.0,-45.0,0.030366079659342946
1795,-355.0,-35.0,0.02892330394324769
1796,-355.0,-25.0,0.027784791562383396
1797,-355.0,-15.0,0.02690417896945433
1798,-355.0,-5.0,0.026227797148654634
1799,-355.0,5.0,0.02570477587888684
1800,-355.0,15.0,0.0252914448325055
1801,-355.0,25.0,0.0249520457747034
1802,-355.0,35.0,0.024658105513136384
1803,-355.0,45.0,0.02438791764989966
1804,-355.0,55.0,0.02412650285713929
1805,-355.0,65.0,0.023865380789819247
1806,-355.0,75.0,0.023601302257789045
1807,-355.0,85.0,0.023334177649889435
1808,-355.0,95.0,0.023065230159098914
1809,-355.0,105.0,0.02279592450178935
1810,-355.0,115.0,0.02252753785659367
1811,-355.0,125.0,0.02226106204340855
1812,-355.0,135.0,0.021997228805024895
1813,-355.0,145.0,0.021736564330515525
1814,-355.0,155.0,0.021479440595825714
1815,-355.0,165.0,0.021226115840656964
1816,-355.0,175.0,0.020976764563256173
