,A,B,M,N,V/I
331,-117.0,-115.0,-61.0,-59.0,-0.00011374919063837294
332,-117.0,-115.0,-59.0,-57.0,-9.745272961449516e-05
333,-117.0,-115.0,-57.0,-55.0,-8.428958747466048e-05
334,-117.0,-115.0,-55.0,-53.0,-7.35424635481749e-05
335,-117.0,-115.0,-53.0,-51.0,-6.467569096261366e-05
336,-117.0,-115.0,-51.0,-49.0,-5.728637297047756e-05
337,-117.0,-115.0,-49.0,-47.0,-5.106920007364249e-05
338,-117.0,-115.0,-47.0,-45.0,-4.579100385354584e-05
339,-117.0,-115.0,-45.0,-43.0,-4.127226810365578e-05
340,-117.0,-115.0,-43.0,-41.0,-3.7373631338009916e-05
341,-117.0,-115.0,-41.0,-39.0,-3.3985985063558766e-05
342,-117.0,-115.0,-39.0,-37.0,-3.102317351987016e-05
343,-117.0,-115.0,-37.0,-35.0,-2.841658404311581e-05
344,-117.0,-115.0,-35.0,-33.0,-2.6111118224935587e-05
345,-117.0,-115.0,-33.0,-31.0,-2.4062177282808267e-05
346,-117.0,-115.0,-31.0,-29.0,-2.223339789953968e-05
347,-117.0,-115.0,-29.0,-27.0,-2.0594949746498975e-05
348,-117.0,-115.0,-27.0,-25.0,-1.912226268030795e-05
349,-117.0,-115.0,-25.0,-23.0,-1.7795099254560437e-05
350,-117.0,-115.0,-23.0,-21.0,-1.6596938591451754e-05
351,-117.0,-115.0,-21.0,-19.0,-1.5514712634199374e-05
352,-117.0,-115.0,-19.0,-17.0,-1.4539082847576934e-05
353,-117.0,-115.0,-17.0,-15.0,-1.366576814912715e-05
354,-117.0,-115.0,-15.0,-13.0,-1.289911021358503e-05
355,-117.0,-115.0,-13.0,-11.0,-1.2259975323912486e-05
356,-117.0,-115.0,-11.0,-9.0,-1.1797331712902828e-05
357,-117.0,-115.0,-9.0,-7.0,-1.1569969623209317e-05
358,-117.0,-115.0,-7.0,-5.0,-1.1453659802044408e-05
359,-117.0,-115.0,-5.0,-3.0,-1.0914601321243556e-05
360,-117.0,-115.0,-3.0,-1.0,-9.794302248046505e-06
361,-117.0,-115.0,-1.0,1.0,-8.577523393327874e-06
362,-117.0,-115.0,1.0,3.0,-7.570445954074162e-06
363,-117.0,-115.0,3.0,5.0,-6.834872394955588e-06
364,-117.0,-115.0,5.0,7.0,-6.341137491297846e-06
365,-117.0,-115.0,7.0,9.0,-6.023731220671652e-06
366,-115.0,-113.0,-111.0,-109.0,-2.7285622913319205
367,-115.0,-113.0,-109.0,-107.0,-0.6736522523168587
368,-115.0,-113.0,-107.0,-105.0,-0.2714329160379525
369,-115.0,-113.0,-105.0,-103.0,-0.13631583541857029
370,-115.0,-113.0,-103.0,-101.0,-0.07702583875096192
371,-115.0,-113.0,-101.0,-99.0,-0.04685227503997669
372,-115.0,-113.0,-99.0,-97.0,-0.02997131777776746
373,-115.0,-113.0,-97.0,-95.0,-0.019868972725189227
374,-115.0,-113.0,-95.0,-93.0,-0.01351629662135767
375,-115.0,-113.0,-93.0,-91.0,-0.009373668224582576
376,-115.0,-113.0,-91.0,-89.0,-0.006599473752208013
377,-115.0,-113.0,-89.0,-87.0,-0.004704886029927524
378,-115.0,-113.0,-87.0,-85.0,-0.0033916415054264654
379,-115.0,-113.0,-85.0,-83.0,-0.002470598941215124
380,-115.0,-113.0,-83.0,-81.0,-0.0018182573947933267
381,-115.0,-113.0,-81.0,-79.0,-0.001352197502883637
382,-115.0,-113.0,-79.0,-77.0,-0.001016513104949622
383,-115.0,-113.0,-77.0,-75.0,-0.00077281086994508
384,-115.0,-113.0,-75.0,-73.0,-0.0005944681144887387
385,-115.0,-113.0,-73.0,-71.0,-0.0004628778465154762
386,-115.0,-113.0,-71.0,-69.0,-0.00036494717934329457
387,-115.0,-113.0,-69.0,-67.0,-0.0002914071970579815
388,-115.0,-113.0,-67.0,-65.0,-0.00023565873299851575
389,-115.0,-113.0,-65.0,-63.0,-0.00019297745683766881
390,-115.0,-113.0,-63.0,-61.0,-0.0001599626439810417
391,-115.0,-113.0,-61.0,-59.0,-0.00013415269062505564
392,-115.0,-113.0,-59.0,-57.0,-0.00011375554763776857
393,-115.0,-113.0,-57.0,-55.0,-9.745882784954057e-05
394,-115.0,-113.0,-55.0,-53.0,-8.429543663267952e-05
395,-115.0,-113.0,-53.0,-51.0,-7.354807577656178e-05
396,-115.0,-113.0,-51.0,-49.0,-6.46810811538931e-05
397,-115.0,-113.0,-49.0,-47.0,-5.729155943122455e-05
398,-115.0,-113.0,-47.0,-45.0,-5.107420565874515e-05
399,-115.0,-113.0,-45.0,-43.0,-4.579585770082134e-05
400,-115.0,-113.0,-43.0,-41.0,-4.127700817694105e-05
401,-115.0,-113.0,-41.0,-39.0,-3.7378308088798634e-05
402,-115.0,-113.0,-39.0,-37.0,-3.399066667097994e-05
403,-115.0,-113.0,-37.0,-35.0,-3.1027953398654606e-05
404,-115.0,-113.0,-35.0,-33.0,-2.842159167850203e-05
405,-115.0,-113.0,-33.0,-31.0,-2.611653502605088e-05
406,-115.0,-113.0,-31.0,-29.0,-2.406826030760048e-05
407,-115.0,-113.0,-29.0,-27.0,-2.224051660025886e-05
408,-115.0,-113.0,-27.0,-25.0,-2.0603645739386556e-05
409,-115.0,-113.0,-25.0,-23.0,-1.9133353395522218e-05
410,-115.0,-113.0,-23.0,-21.0,-1.7809871574438196e-05
411,-115.0,-113.0,-21.0,-19.0,-1.661753882681305e-05
412,-115.0,-113.0,-19.0,-17.0,-1.5544984029430137e-05
413,-115.0,-113.0,-17.0,-15.0,-1.4586443302152391e-05
414,-115.0,-113.0,-15.0,-13.0,-1.374545547644726e-05
415,-115.0,-113.0,-13.0,-11.0,-1.3043153464925572e-05
