,A,B,M,V/I
256,-119.0,-117.0,-99.0,-0.04872145234141825
257,-119.0,-117.0,-97.0,-0.03520511888198366
258,-119.0,-117.0,-95.0,-0.02583143129731373
259,-119.0,-117.0,-93.0,-0.019231950407802775
260,-119.0,-117.0,-91.0,-0.014527065729161431
261,-119.0,-117.0,-89.0,-0.011135431406218171
262,-119.0,-117.0,-87.0,-0.00866484358575198
263,-119.0,-117.0,-85.0,-0.006846599901212572
264,-119.0,-117.0,-83.0,-0.005494417737657624
265,-119.0,-117.0,-81.0,-0.00447792091843547
266,-119.0,-117.0,-79.0,-0.0037051267970065194
267,-119.0,-117.0,-77.0,-0.0031106755531263228
268,-119.0,-117.0,-75.0,-0.002647814461354106
269,-119.0,-117.0,-73.0,-0.002282883756858735
270,-119.0,-117.0,-71.0,-0.0019914926439501754
271,-119.0,-117.0,-69.0,-0.0017558495319362905
272,-119.0,-117.0,-67.0,-0.0015628871880808068
273,-119.0,-117.0,-65.0,-0.001402939124190393
274,-119.0,-117.0,-63.0,-0.0012688004703568165
275,-119.0,-117.0,-61.0,-0.0011550584164590517
276,-119.0,-117.0,-59.0,-0.001057612547621288
277,-119.0,-117.0,-57.0,-0.0009733295500775237
278,-119.0,-117.0,-55.0,-0.0008997934139914864
279,-119.0,-117.0,-53.0,-0.0008351237993734564
280,-119.0,-117.0,-51.0,-0.0007778432660653888
281,-119.0,-117.0,-49.0,-0.0007267796870164024
282,-119.0,-117.0,-47.0,-0.0006809941082092028
283,-119.0,-117.0,-45.0,-0.0006397270980569615
284,-119.0,-117.0,-43.0,-0.0006023585950880768
285,-119.0,-117.0,-41.0,-0.000568377658448381
286,-119.0,-117.0,-39.0,-0.0005373595201921023
287,-119.0,-117.0,-37.0,-0.0005089480493961768
288,-119.0,-117.0,-35.0,-0.00048284224831687816
289,-119.0,-117.0,-33.0,-0.00045878576799534415
290,-119.0,-117.0,-31.0,-0.00043655869556935914
291,-119.0,-117.0,-29.0,-0.0004159710565209071
292,-119.0,-117.0,-27.0,-0.00039685761171739595
293,-119.0,-117.0,-25.0,-0.0003790736237745118
294,-119.0,-117.0,-23.0,-0.00036249132520133065
295,-119.0,-117.0,-21.0,-0.000346996836931613
296,-119.0,-117.0,-19.0,-0.0003324872351357505
297,-119.0,-117.0,-17.0,-0.0003188672770066091
298,-119.0,-117.0,-15.0,-0.0003060448050512133
299,-119.0,-117.0,-13.0,-0.00029392271997787274
300,-119.0,-117.0,-11.0,-0.0002823834237182885
301,-119.0,-117.0,-9.0,-0.0002712622932507947
302,-119.0,-117.0,-7.0,-0.0002603386703846078
303,-119.0,-117.0,-5.0,-0.00024951015169181676
304,-119.0,-117.0,-3.0,-0.00023918131079985264
305,-119.0,-117.0,-1.0,-0.00022990652123877804
306,-119.0,-117.0,1.0,-0.0002217792010667033
307,-119.0,-117.0,3.0,-0.0002146014162821737
308,-119.0,-117.0,5.0,-0.00020811597234134983
309,-119.0,-117.0,7.0,-0.0002020934934375395
310,-117.0,-115.0,-113.0,-4.0324044226417435
311,-117.0,-115.0,-111.0,-1.3038418149574147
312,-117.0,-115.0,-109.0,-0.6301893431367533
313,-117.0,-115.0,-107.0,-0.35875627579016656
314,-117.0,-115.0,-105.0,-0.2224403370797423
315,-117.0,-115.0,-103.0,-0.14541442886139594
316,-117.0,-115.0,-101.0,-0.0985621081893136
317,-117.0,-115.0,-99.0,-0.06859076157209151
318,-117.0,-115.0,-97.0,-0.04872177182454246
319,-117.0,-115.0,-95.0,-0.035205466475134645
320,-117.0,-115.0,-93.0,-0.025831795317530354
321,-117.0,-115.0,-91.0,-0.01923232265105146
322,-117.0,-115.0,-89.0,-0.014527440461456945
323,-117.0,-115.0,-87.0,-0.011135804650561645
324,-117.0,-115.0,-85.0,-0.008665212616685833
325,-117.0,-115.0,-83.0,-0.006846962885537697
326,-117.0,-115.0,-81.0,-0.005494773478366702
327,-117.0,-115.0,-79.0,-0.004478268671757907
328,-117.0,-115.0,-77.0,-0.0037054661413959133
329,-117.0,-115.0,-75.0,-0.003111006295257762
330,-117.0,-115.0,-73.0,-0.002648136568564309
331,-117.0,-115.0,-71.0,-0.002283197308527274
332,-117.0,-115.0,-69.0,-0.0019917977964791014
333,-117.0,-115.0,-67.0,-0.0017561464935089977
334,-117.0,-115.0,-65.0,-0.0015631762004598773
335,-117.0,-115.0,-63.0,-0.0014032204495780798
336,-117.0,-115.0,-61.0,-0.0012690743818831451
337,-117.0,-115.0,-59.0,-0.0011553251912447722
338,-117.0,-115.0,-57.0,-0.001057872461630277
339,-117.0,-115.0,-55.0,-0.0009735828741556166
340,-117.0,-115.0,-53.0,-0.0009000404106074417
341,-117.0,-115.0,-51.0,-0.000835364719644828
342,-117.0,-115.0,-49.0,-0.0007780783466743504
343,-117.0,-115.0,-47.0,-0.000727009146600708
344,-117.0,-115.0,-45.0,-0.0006812181427471621
345,-117.0,-115.0,-43.0,-0.0006399458746435063
346,-117.0,-115.0,-41.0,-0.0006025722433054964
347,-117.0,-115.0,-39.0,-0.0005685862582419376
348,-117.0,-115.0,-37.0,-0.0005375630847220675
349,-117.0,-115.0,-35.0,-0.0005091465006789517
350,-117.0,-115.0,-33.0,-0.0004830353824540161
351,-117.0,-115.0,-31.0,-0.0004589732051712078
352,-117.0,-115.0,-29.0,-0.00043673980727166814
353,-117.0,-115.0,-27.0,-0.00041614485752516917
354,-117.0,-115.0,-25.0,-0.0003970225948448612
355,-117.0,-115.0,-23.0,-0.0003792274955903008
356,-117.0,-115.0,-21.0,-0.000362630556998849
357,-117.0,-115.0,-19.0,-0.00034711584436464965
358,-117.0,-115.0,-17.0,-0.0003325767615170727
359,-117.0,-115.0,-15.0,-0.00031891099336794557
360,-117.0,-115.0,-13.0,-0.00030601188315436054
361,-117.0,-115.0,-11.0,-0.00029375190783044805
362,-117.0,-115.0,-9.0,-0.0002819545761175452
363,-117.0,-115.0,-7.0,-0.0002703846064943359
364,-117.0,-115.0,-5.0,-0.0002589309466922915
365,-117.0,-115.0,-3.0,-0.00024801634537104794
366,-117.0,-115.0,-1.0,-0.00023822204312300144
367,-117.0,-115.0,1.0,-0.00022964451972967356
368,-117.0,-115.0,3.0,-0.0002220740737755994
369,-117.0,-115.0,5.0,-0.0002152392013806438
370,-117.0,-115.0,7.0,-0.00020889806388934597
371,-117.0,-115.0,9.0,-0.00020287433266867431
372,-115.0,-113.0,-111.0,-4.032403821161709
373,-115.0,-113.0,-109.0,-1.3038415298297883
374,-115.0,-113.0,-107.0,-0.6301892775129299
375,-115.0,-113.0,-105.0,-0.35875636147497736
376,-115.0,-113.0,-103.0,-0.22244052605640707
377,-115.0,-113.0,-101.0,-0.14541468730544516
378,-115.0,-113.0,-99.0,-0.09856241226546847
379,-115.0,-113.0,-97.0,-0.06859109448770101
380,-115.0,-113.0,-95.0,-0.04872212176251178
381,-115.0,-113.0,-93.0,-0.03520582514115411
382,-115.0,-113.0,-91.0,-0.025832156916571536
383,-115.0,-113.0,-89.0,-0.019232683164363523
384,-115.0,-113.0,-87.0,-0.014527797134435999
385,-115.0,-113.0,-85.0,-0.011136155629009534
386,-115.0,-113.0,-83.0,-0.00866555668779441
387,-115.0,-113.0,-81.0,-0.006847299293001083
388,-115.0,-113.0,-79.0,-0.005495101790117446
389,-115.0,-113.0,-77.0,-0.004478588685167824
390,-115.0,-113.0,-75.0,-0.003705777815222744
391,-115.0,-113.0,-73.0,-0.003111309700734005
392,-115.0,-113.0,-71.0,-0.002648431854218529
393,-115.0,-113.0,-69.0,-0.0022834846748752344
394,-115.0,-113.0,-67.0,-0.001992077477817253
395,-115.0,-113.0,-65.0,-0.0017564187448187371
396,-115.0,-113.0,-63.0,-0.0015634412879810683
397,-115.0,-113.0,-61.0,-0.0014034786440000266
398,-115.0,-113.0,-59.0,-0.0012693259533749675
399,-115.0,-113.0,-57.0,-0.001155570405737199
400,-115.0,-113.0,-55.0,-0.0010581115778876583
401,-115.0,-113.0,-53.0,-0.0009738161412549788
402,-115.0,-113.0,-51.0,-0.000900268065478417
403,-115.0,-113.0,-49.0,-0.0008355869843245239
404,-115.0,-113.0,-47.0,-0.0007782954248932994
405,-115.0,-113.0,-45.0,-0.0007272212192345542
406,-115.0,-113.0,-43.0,-0.0006814253615337329
407,-115.0,-113.0,-41.0,-0.0006401483533567918
408,-115.0,-113.0,-39.0,-0.0006027700452679932
409,-115.0,-113.0,-37.0,-0.0005687793785970133
410,-115.0,-113.0,-35.0,-0.0005377514251983587
411,-115.0,-113.0,-33.0,-0.0005093298335198566
412,-115.0,-113.0,-31.0,-0.00048321329849380576
413,-115.0,-113.0,-29.0,-0.0004591450381862053
414,-115.0,-113.0,-27.0,-0.0004369045215859464
415,-115.0,-113.0,-25.0,-0.00041630087584655986
416,-115.0,-113.0,-23.0,-0.00039716752245103765
417,-115.0,-113.0,-21.0,-0.00037935765087659945
418,-115.0,-113.0,-19.0,-0.0003627401120497864
419,-115.0,-113.0,-17.0,-0.00034719512802035626
420,-115.0,-113.0,-15.0,-0.0003326086847182039
421,-115.0,-113.0,-13.0,-0.0003188632292417566
422,-115.0,-113.0,-11.0,-0.00030582007577683104
423,-115.0,-113.0,-9.0,-0.00029328958480549783
424,-115.0,-113.0,-7.0,-0.0002810204284963286
425,-115.0,-113.0,-5.0,-0.0002688919065192419
426,-115.0,-113.0,-3.0,-0.0002573458771119065
427,-115.0,-113.0,-1.0,-0.00024699209846232653
428,-115.0,-113.0,1.0,-0.00023793013615934153
429,-115.0,-113.0,3.0,-0.00022993754737658627
430,-115.0,-113.0,5.0,-0.00022272741862260428
431,-115.0,-113.0,7.0,-0.00021604451444169788
432,-115.0,-113.0,9.0,-0.00020970271547261256
433,-115.0,-113.0,11.0,-0.0002035941513715573
434,-113.0,-111.0,-109.0,-4.032403740389295
435,-113.0,-111.0,-107.0,-1.3038416014033936
436,-113.0,-111.0,-105.0,-0.6301894531706189
437,-113.0,-111.0,-103.0,-0.35875660719885527
438,-113.0,-111.0,-101.0,-0.22244081787600756
439,-113.0,-111.0,-99.0,-0.1454150083396637
440,-113.0,-111.0,-97.0,-0.09856275064195286
441,-113.0,-111.0,-95.0,-0.06859144187897515
442,-113.0,-111.0,-93.0,-0.04872247235441035
443,-113.0,-111.0,-91.0,-0.03520617490430869
444,-113.0,-111.0,-89.0,-0.025832503090652048
445,-113.0,-111.0,-87.0,-0.019233023892019266
446,-113.0,-111.0,-85.0,-0.014528131200843702
447,-113.0,-111.0,-83.0,-0.01113648227613069
448,-113.0,-111.0,-81.0,-0.008665875481632113
449,-113.0,-111.0,-79.0,-0.006847610028560283
450,-113.0,-111.0,-77.0,-0.005495404423259936
451,-113.0,-111.0,-75.0,-0.00447888328370015
452,-113.0,-111.0,-73.0,-0.0037060645237703693
453,-113.0,-111.0,-71.0,-0.0031115887155172203
454,-113.0,-111.0,-69.0,-0.002648703404949826
455,-113.0,-111.0,-67.0,-0.002283749011781626
456,-113.0,-111.0,-65.0,-0.001992334862345492
457,-113.0,-111.0,-63.0,-0.0017566694429760957
458,-113.0,-111.0,-61.0,-0.001563685565542046
459,-113.0,-111.0,-59.0,-0.0014037167630041592
460,-113.0,-111.0,-57.0,-0.0012695581694736127
461,-113.0,-111.0,-55.0,-0.00115579696603273
462,-113.0,-111.0,-53.0,-0.0010583327189561849
463,-113.0,-111.0,-51.0,-0.0009740320870585059
464,-113.0,-111.0,-49.0,-0.0009004790248549888
465,-113.0,-111.0,-47.0,-0.0008357931476928385
466,-113.0,-111.0,-45.0,-0.0007784969597150262
467,-113.0,-111.0,-43.0,-0.0007274182636300558
468,-113.0,-111.0,-41.0,-0.0006816180152259231
469,-113.0,-111.0,-39.0,-0.0006403366647917685
470,-113.0,-111.0,-37.0,-0.0006029539932796077
471,-113.0,-111.0,-35.0,-0.0005689588462622214
472,-113.0,-111.0,-33.0,-0.0005379261624239989
473,-113.0,-111.0,-31.0,-0.0005094994031334225
474,-113.0,-111.0,-29.0,-0.0004833769976244351
475,-113.0,-111.0,-27.0,-0.0004593017813238967
476,-113.0,-111.0,-25.0,-0.0004370526612009276
477,-113.0,-111.0,-23.0,-0.0004164379145149451
478,-113.0,-111.0,-21.0,-0.0003972896218795499
479,-113.0,-111.0,-19.0,-0.0003794587311249341
480,-113.0,-111.0,-17.0,-0.0003628100692814121
481,-113.0,-111.0,-15.0,-0.0003472160733896945
482,-113.0,-111.0,-13.0,-0.0003325467039077233
483,-113.0,-111.0,-11.0,-0.00031865066102568923
484,-113.0,-111.0,-9.0,-0.00030532368147139985
485,-113.0,-111.0,-7.0,-0.00029229677318981864
486,-113.0,-111.0,-5.0,-0.0002794384368970341
487,-113.0,-111.0,-3.0,-0.00026721060664374255
488,-113.0,-111.0,-1.0,-0.00025625332229638545
