,A,B,M,N,V/I
288,-45.0,-21.0,-37.0,-29.0,1.650746905618978
289,-43.0,-19.0,-35.0,-27.0,1.651053711325373
290,-41.0,-17.0,-33.0,-25.0,1.6516540102987394
291,-39.0,-15.0,-31.0,-23.0,1.6528459203561345
292,-37.0,-13.0,-29.0,-21.0,1.655253764624811
293,-35.0,-11.0,-27.0,-19.0,1.6602098551706352
294,-33.0,-9.0,-25.0,-17.0,1.670529421139762
295,-31.0,-7.0,-23.0,-15.0,1.6915193008988527
296,-29.0,-5.0,-21.0,-13.0,1.730032500461172
297,-27.0,-3.0,-19.0,-11.0,1.7899225678240955
298,-25.0,-1.0,-17.0,-9.0,1.870438252918188
299,-23.0,1.0,-15.0,-7.0,1.9616468389876713
300,-21.0,3.0,-13.0,-5.0,2.0284543197737124
301,-19.0,5.0,-11.0,-3.0,2.019773706815433
302,-17.0,7.0,-9.0,-1.0,1.933593544427917
303,-15.0,9.0,-7.0,1.0,1.8190729715417975
304,-13.0,11.0,-5.0,3.0,1.7314456968646263
305,-11.0,13.0,-3.0,5.0,1.7077111063659565
306,-9.0,15.0,-1.0,7.0,1.7521017921941504
307,-7.0,17.0,1.0,9.0,1.84176619458393
308,-5.0,19.0,3.0,11.0,1.9325736545365884
309,-3.0,21.0,5.0,13.0,1.9715843915796447
310,-1.0,23.0,7.0,15.0,1.946037884626586
311,1.0,25.0,9.0,17.0,1.8833588524647524
312,3.0,27.0,11.0,19.0,1.8135981586759298
313,5.0,29.0,13.0,21.0,1.7546124627647157
314,7.0,31.0,15.0,23.0,1.7123884630618353
315,9.0,33.0,17.0,25.0,1.685502699346522
316,11.0,35.0,19.0,27.0,1.669709734470042
317,13.0,37.0,21.0,29.0,1.6608859062647574
318,15.0,39.0,23.0,31.0,1.6560850453484408
319,17.0,41.0,25.0,33.0,1.6535000482164115
320,19.0,43.0,27.0,35.0,1.6521084886654003
321,21.0,45.0,29.0,37.0,1.6513549447854121
322,23.0,47.0,31.0,39.0,1.6509429676919884
323,25.0,49.0,33.0,41.0,1.6507150484429132
