# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
-400.0,-1500.0,100.0,6.748337019397653,5.0
-400.0,-1400.0,100.0,-1.9838776520418877,5.0
-400.0,-1300.0,100.0,9.269127337616833,5.0
-400.0,-1200.0,100.0,3.369909581918635,5.0
-400.0,-1100.0,100.0,5.582465587014732,5.0
-400.0,-1000.0,100.0,11.407153069782732,5.0
-400.0,-900.0,100.0,16.02621381023829,5.0
-400.0,-800.0,100.0,18.305609637088544,5.0
-400.0,-700.0,100.0,30.280634731872386,5.0
-400.0,-600.0,100.0,40.33118625947005,5.0
-400.0,-500.0,100.0,67.05328324165772,5.0
-400.0,-400.0,100.0,78.54614956849606,5.0
-400.0,-300.0,100.0,125.6007697425793,5.0
-400.0,-200.0,100.0,171.32260341499278,5.0
-400.0,-100.0,100.0,243.63478099497743,5.0
-400.0,0.0,100.0,345.522171040138,5.0
-400.0,100.0,100.0,498.37438688454256,5.0
-400.0,200.0,100.0,731.9317167960321,5.0
-400.0,300.0,100.0,1008.9920923378154,5.0
-400.0,400.0,100.0,1004.5068800164556,5.0
-400.0,500.0,100.0,676.9853653505439,5.0
-400.0,600.0,100.0,220.47325577095506,5.0
-400.0,700.0,100.0,-200.87015093271484,5.0
-400.0,800.0,100.0,-320.9647483065167,5.0
-400.0,900.0,100.0,-230.3395415401103,5.0
-400.0,1000.0,100.0,-148.00946022163797,5.0
-400.0,1100.0,100.0,-104.83474283653895,5.0
-400.0,1200.0,100.0,-79.20393682502171,5.0
-400.0,1300.0,100.0,-55.98484552235018,5.0
-400.0,1400.0,100.0,-46.75106292179603,5.0
-400.0,1500.0,100.0,-20.85242079310956,5.0
-300.0,-1500.0,100.0,7.237276027937382,5.0
-300.0,-1400.0,100.0,3.842234190682883,5.0
-300.0,-1300.0,100.0,4.821715380355199,5.0
-300.0,-1200.0,100.0,4.414149957798241,5.0
-300.0,-1100.0,100.0,17.39203229708926,5.0
-300.0,-1000.0,100.0,15.499630410823903,5.0
-300.0,-900.0,100.0,25.51907614153309,5.0
-300.0,-800.0,100.0,29.91875344058976,5.0
-300.0,-700.0,100.0,45.65545769162662,5.0
-300.0,-600.0,100.0,60.07928410664296,5.0
-300.0,-500.0,100.0,74.13806739959217,5.0
-300.0,-400.0,100.0,120.41154227997244,5.0
-300.0,-300.0,100.0,156.48975031245467,5.0
-300.0,-200.0,100.0,228.00846296586255,5.0
-300.0,-100.0,100.0,310.8860674940381,5.0
-300.0,0.0,100.0,394.8184974450241,5.0
-300.0,100.0,100.0,507.1153327843706,5.0
-300.0,200.0,100.0,639.4210034283878,5.0
-300.0,300.0,100.0,682.275754457295,5.0
-300.0,400.0,100.0,585.1589421447396,5.0
-300.0,500.0,100.0,251.31431847733046,5.0
-300.0,600.0,100.0,-106.94165777397124,5.0
-300.0,700.0,100.0,-278.56122965607244,5.0
-300.0,800.0,100.0,-271.8164202143676,5.0
-300.0,900.0,100.0,-210.5314029272655,5.0
-300.0,1000.0,100.0,-147.43578751909195,5.0
-300.0,1100.0,100.0,-95.88670102537546,5.0
-300.0,1200.0,100.0,-83.8043949419048,5.0
-300.0,1300.0,100.0,-49.18236313737011,5.0
-300.0,1400.0,100.0,-39.81541238026755,5.0
-300.0,1500.0,100.0,-27.89513498209184,5.0
-200.0,-1500.0,100.0,10.558522936225181,5.0
-200.0,-1400.0,100.0,6.815517522090712,5.0
-200.0,-1300.0,100.0,11.400149579779319,5.0
-200.0,-1200.0,100.0,14.864540687945825,5.0
-200.0,-1100.0,100.0,12.379591605761215,5.0
-200.0,-1000.0,100.0,28.17615669428247,5.0
-200.0,-900.0,100.0,23.76803762599736,5.0
-200.0,-800.0,100.0,43.00534069604317,5.0
-200.0,-700.0,100.0,70.77210001625686,5.0
-200.0,-600.0,100.0,80.70156939961859,5.0
-200.0,-500.0,100.0,114.68099685933795,5.0
-200.0,-400.0,100.0,162.5605841643432,5.0
-200.0,-300.0,100.0,218.48342568926032,5.0
-200.0,-200.0,100.0,276.001128723783,5.0
-200.0,-100.0,100.0,336.1415541620819,5.0
-200.0,0.0,100.0,403.75591156637125,5.0
-200.0,100.0,100.0,458.8434487122103,5.0
-200.0,200.0,100.0,452.6624763180981,5.0
-200.0,300.0,100.0,361.4277977470527,5.0
-200.0,400.0,100.0,173.79594493704795,5.0
-200.0,500.0,100.0,-53.325480549179495,5.0
-200.0,600.0,100.0,-222.43692817891585,5.0
-200.0,700.0,100.0,-252.3769005457554,5.0
-200.0,800.0,100.0,-236.90030513749656,5.0
-200.0,900.0,100.0,-172.97647496131236,5.0
-200.0,1000.0,100.0,-128.60111225331582,5.0
-200.0,1100.0,100.0,-95.29608788778724,5.0
-200.0,1200.0,100.0,-72.83055682225677,5.0
-200.0,1300.0,100.0,-51.49809165618989,5.0
-200.0,1400.0,100.0,-41.9227923547172,5.0
-200.0,1500.0,100.0,-35.914762983446266,5.0
-100.0,-1500.0,100.0,3.4187087043341924,5.0
-100.0,-1400.0,100.0,13.88811427239917,5.0
-100.0,-1300.0,100.0,12.593585641239203,5.0
-100.0,-1200.0,100.0,22.25425681567109,5.0
-100.0,-1100.0,100.0,22.999285044795442,5.0
-100.0,-1000.0,100.0,26.9487576131307,5.0
-100.0,-900.0,100.0,48.69006830967593,5.0
-100.0,-800.0,100.0,64.68748532649842,5.0
-100.0,-700.0,100.0,92.87243605871626,5.0
-100.0,-600.0,100.0,127.24783843802223,5.0
-100.0,-500.0,100.0,162.07280375379213,5.0
-100.0,-400.0,100.0,215.26731194591153,5.0
-100.0,-300.0,100.0,261.2799759111796,5.0
-100.0,-200.0,100.0,310.2493692997884,5.0
-100.0,-100.0,100.0,360.68588410640723,5.0
-100.0,0.0,100.0,365.8830082632339,5.0
-100.0,100.0,100.0,336.02407572148724,5.0
-100.0,200.0,100.0,263.85874849256044,5.0
-100.0,300.0,100.0,135.1250501921701,5.0
-100.0,400.0,100.0,-12.539965901131534,5.0
-100.0,500.0,100.0,-149.61131966907624,5.0
-100.0,600.0,100.0,-212.44452968004978,5.0
-100.0,700.0,100.0,-205.2298974918921,5.0
-100.0,800.0,100.0,-189.36611841107427,5.0
-100.0,900.0,100.0,-152.63289284799362,5.0
-100.0,1000.0,100.0,-111.12249221656306,5.0
-100.0,1100.0,100.0,-90.61996869809826,5.0
-100.0,1200.0,100.0,-57.94651557580822,5.0
-100.0,1300.0,100.0,-48.47171217597857,5.0
-100.0,1400.0,100.0,-36.034495073718894,5.0
-100.0,1500.0,100.0,-27.610019078861384,5.0
0.0,-1500.0,100.0,5.957076048071362,5.0
0.0,-1400.0,100.0,0.2464697216847478,5.0
0.0,-1300.0,100.0,17.211005438767884,5.0
0.0,-1200.0,100.0,16.94696350152849,5.0
0.0,-1100.0,100.0,33.5173326674842,5.0
0.0,-1000.0,100.0,33.931424689979764,5.0
0.0,-900.0,100.0,61.98100235109282,5.0
0.0,-800.0,100.0,86.14007174365791,5.0
0.0,-700.0,100.0,134.0928602970583,5.0
0.0,-600.0,100.0,177.8122953798052,5.0
0.0,-500.0,100.0,230.18154082247023,5.0
0.0,-400.0,100.0,295.2617905237622,5.0
0.0,-300.0,100.0,324.5802803301729,5.0
0.0,-200.0,100.0,344.19936252300704,5.0
0.0,-100.0,100.0,327.48148012313595,5.0
0.0,0.0,100.0,282.28651700968516,5.0
0.0,100.0,100.0,200.732671220267,5.0
0.0,200.0,100.0,99.89746854249802,5.0
0.0,300.0,100.0,-3.9370085445925067,5.0
0.0,400.0,100.0,-97.50785487963357,5.0
